title,console,alcohol_reference,animated_blood,blood,blood_and_gore,cartoon_violence,crude_humor,drug_reference,fantasy_violence,intense_violence,language,mild_blood,mild_cartoon_violence,mild_fantasy_violence,mild_language,mild_lyrics,mild_suggestive_themes,mild_violence,nudity,sexual_content,sexual_themes,simulated_gambling,strong_language,strong_sexual_content,suggestive_themes,use_of_alcohol,use_of_drugs_and_alcohol,violence,esrb_rating
FAIRY TAIL 2,"Windows PC, PlayStation 4, PlayStation 5, Nintendo Switch",0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,T
Clock Tower: Rewind,"Windows PC, PlayStation 4, PlayStation 5, Nintendo Switch, Xbox Series",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,T
Kingdom Come: Deliverance II,"Windows PC, PlayStation 5, Xbox Series",0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,M
Neva,"PlayStation 5, Nintendo Switch, Xbox Series",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ET
Selfloss,"PlayStation 5, Nintendo Switch",0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,T
Tales from Toyotoki: Arrival of the Witch,"PlayStation 5, Nintendo Switch",0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,T
FINAL FANTASY XVI,Windows PC,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,M
Dungeons of Hinterberg,Windows PC,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ET
Tetris,ModRetro Chromatic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,E
STAR WARS Jedi: Survivor™,"PlayStation 4, Xbox One",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,T
Let's School,"PlayStation 5, Nintendo Switch",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,E
FANTASIAN Neo Dimension,"Windows PC, PlayStation 5, Nintendo Switch, Xbox Series",0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,ET
Elrentaros Wanderings,Nintendo Switch,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,T
Elypse,"PlayStation 5, Nintendo Switch",0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,ET
Goat Simulator 3,Nintendo Switch,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,T
Donkey Kong Country Returns HD,Nintendo Switch,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,E
Emio—The Smiling Man: Famicom Detective Club,Nintendo Switch,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,M
B-PROJECT RYUSEI*FANTASIA,Nintendo Switch,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,T
Arsène Lupin - Once A Thief,"PlayStation 5, Nintendo Switch",1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,ET
Lollipop Chainsaw RePOP,"PlayStation 5, Nintendo Switch, Xbox Series",0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,M
Pathfinder: Kingmaker - Definitive Edition,"PlayStation 4, Xbox One",0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,T
Harvest Days,"PlayStation 5, Nintendo Switch",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,E
Born Of Bread,"PlayStation 5, Nintendo Switch",0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ET
Funko Fusion,"PlayStation 4, PlayStation 5, Nintendo Switch, Xbox Series",0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,T
World of Goo 2,"Linux, Macintosh, Windows PC, Nintendo Switch",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,T
S.T.A.L.K.E.R. 2: Heart of Chornobyl,Xbox Series,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,M
Until Dawn,"Windows PC, PlayStation 5",0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,M
Petit Island,"PlayStation 5, Nintendo Switch, Xbox Series",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,E
Faith: The Unholy Trinity,Nintendo Switch,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,T
Skinny & Franko: Fists of Violence,PlayStation 4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,M
Mario & Luigi Brothership,Nintendo Switch,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,E
Nocturnal,"PlayStation 5, Nintendo Switch",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,T
Ufouria 2: The Saga,"PlayStation 5, Nintendo Switch",0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,E
Lempo,PlayStation 5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,M
Assault Suits Valken DECLASSIFIED,Nintendo Switch,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,ET
Potionomics: Masterwork Edition,"PlayStation 5, Nintendo Switch, Xbox Series",0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,ET
SNK VS. CAPCOM SVC CHAOS,"PlayStation 4, Nintendo Switch",0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,T
PO'ed: Definitive Edition,"Windows PC, PlayStation 5, Nintendo Switch",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,M
Tomba! Special Edition,"PlayStation 4, PlayStation 5, Nintendo Switch, Xbox Series",1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ET
Spirittea,Nintendo Switch,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,ET
Rugrats: Adventures in Gameland,"PlayStation 4, PlayStation 5, Nintendo Switch, Xbox Series",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,E
Hot Lap Racing,Nintendo Switch,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,E
The Legend of Zelda: Echoes of Wisdom,Nintendo Switch,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ET
9 R.I.P.,Nintendo Switch,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,T
Ace Attorney Investigations Collection,"Windows PC, Nintendo Switch",0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,T
Total War: PHARAOH - Dynasties,Windows PC,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,T
Turbo Overkill,"Windows PC, PlayStation 4, PlayStation 5, Nintendo Switch",0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,M
Zero to Dance Hero,Nintendo Switch,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,E
Tomb Raider I-III Remastered Starring Lara Croft,"PlayStation 4, PlayStation 5, Nintendo Switch",0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,T
Shadows of the Damned: Hella Remastered,PlayStation 5,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,M
TriggerHeart EXELICA,Nintendo Switch,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,ET
The Oregon Trail,"PlayStation 5, Nintendo Switch",0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,ET
ASTRO BOT,PlayStation 5,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ET
Balatro,"PlayStation 5, Nintendo Switch, Xbox One, Xbox Series",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ET
Demon Slayer -Kimetsu no Yaiba- Sweep the Board!,"Windows PC, PlayStation 4, PlayStation 5, Xbox One, Xbox Series",0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,T
Dragon Quest III HD-2D Remake,"Windows PC, PlayStation 5, Nintendo Switch, Xbox Series",1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,ET
Life is Strange: Double Exposure,"Windows PC, PlayStation 5, Nintendo Switch, Xbox Series",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,M
Reel Fishing: Days of Summer,"Windows PC, PlayStation 5, Nintendo Switch",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,E
Romancing Saga 2: Revenge of the Seven,"Windows PC, PlayStation 5, Nintendo Switch",0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,T
Windstorm: Start of a Great Friendship - Remastered,PlayStation 5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,E
TIEBREAK: Official game of the ATP and WTA,"Windows PC, PlayStation 4, PlayStation 5, Nintendo Switch, Xbox One, Xbox Series",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,E
That Time I Got Reincarnated as a Slime ISEKAI Chronicles,Windows PC,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,T
The Smurfs - Dreams,"PlayStation 5, Nintendo Switch",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,E
Touhou Luna Nights,"PlayStation 5, Nintendo Switch, Xbox Series",0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,ET
Xeno Crisis,"PlayStation 5, Nintendo Switch",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,T
Glover (QUByte Classics),"PlayStation 5, Nintendo Switch",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,E
Mia and the Dragon Princess,PlayStation 5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,M
Gigantosaurus: Dino Sports,"Windows PC, PlayStation 4, PlayStation 5, Nintendo Switch, Xbox One, Xbox Series",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,E
The House Of The Dead 2: Remake,Nintendo Switch,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,M
Alien Hominid Invasion,Nintendo Switch,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,T
SCHiM,"PlayStation 5, Nintendo Switch",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,E
Flintlock: The Siege of Dawn,"Windows PC, PlayStation 5, Xbox Series",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,M
Radiant Tale -Fanfare!-,Nintendo Switch,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,T
SPYxANYA: Operation Memories,Windows PC,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,ET
Riven,"Macintosh, Windows PC",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,ET
Cat Quest II,Nintendo Switch,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ET
Cat Quest,Nintendo Switch,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ET
CONSCRIPT,"PlayStation 5, Nintendo Switch",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,M
Slipstream,"PlayStation 5, Nintendo Switch",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,E
Death Trick: Double Blind,Nintendo Switch,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,M
Five Nights at Freddy's: Help Wanted 2,PlayStation 5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,T
God of War: Ragnarok,Windows PC,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,M
Love In Login,Nintendo Switch,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,M
BATEN KAITOS I & II HD Remaster,Windows PC,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,T
Pool Party,"PlayStation 5, Nintendo Switch",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,E
Koumajou Remilia Ⅱ: Stranger's Requiem,Nintendo Switch,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,T
NEEDY STREAMER OVERLOAD,Nintendo Switch,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,M
Valis: The Fantasm Soldier Collection III,Nintendo Switch,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,T
INDIKA,PlayStation 5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,M
Fitness Boxing feat. HATSUNE MIKU,Nintendo Switch,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,E
Blazing Strike,"PlayStation 4, PlayStation 5, Nintendo Switch",0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,T
GRAVEN,PlayStation 4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,M
Hubris,PlayStation 5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,T
Alan Wake 2 Deluxe Edition,"Windows PC, PlayStation 5, Xbox Series",0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,M
Batman: Arkham Shadow,Meta Quest,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,T
Death Park,PlayStation 4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,T
Fashion Police Squad,"PlayStation 4, PlayStation 5",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,T
Perennial Order,"PlayStation 5, Xbox Series",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,T
TY the Tasmanian Tiger™ 4: Bush Rescue Returns™,Nintendo Switch,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ET
Leo: The Firefighter Cat,"PlayStation 5, Nintendo Switch",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ET
SunnySide,PlayStation 5,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,T
The Smurfs - Village Party,"PlayStation 5, Nintendo Switch",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,E
White Day 2: The Flower That Tells Lies - Complete Edition,PlayStation 5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,M
Love Delivery,Nintendo Switch,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,M
RKGK / Rakugaki,Windows PC,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,T
Hidden Objects 6: Shopping Clutter,"PlayStation 5, Nintendo Switch",1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,E
Asgard's Wrath 2,Meta Quest,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,M
Fatal Run,ATARI 7800,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,E
Food Fight,ATARI 7800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,E
Ninja Golf,ATARI 7800,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,E
The Last Faith,"PlayStation 5, Nintendo Switch, Xbox One, Xbox Series",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,T
Senua’s Saga: Hellblade II,"Windows PC, Xbox Series",0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,M
Vertigo 2,PlayStation 5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,M
Dave The Diver,Nintendo Switch,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,ET
My Little Pony: A Zephyr Heights Mystery,"Windows PC, PlayStation 4, PlayStation 5, Nintendo Switch, Xbox One, Xbox Series",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,E
Dwerve,"PlayStation 5, Nintendo Switch",0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,T
Frog Detective,Nintendo Switch,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,E
The Wreck,"PlayStation 5, Nintendo Switch",0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,M
DRIFTCE,Windows PC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,E
Still Wakes the Deep,"Windows PC, PlayStation 5",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,M
Nancy Drew: Mystery of the Seven Keys,"Macintosh, Windows PC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,ET
Morbid: The Lords of Ire,"PlayStation 5, Nintendo Switch",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,M
Richman 11,"PlayStation 4, PlayStation 5",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,E
SAND LAND,"Windows PC, PlayStation 4, PlayStation 5, Xbox Series",0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,T
Tales of Kenzera™: ZAU,"Windows PC, PlayStation 5, Nintendo Switch, Xbox Series",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ET
Lorelei and the Laser Eyes,"Windows PC, Nintendo Switch",1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,T
Hyper-5,PlayStation 5,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ET
